Postcode,Lat,Lon,Average Price
BD227PY,53.843174,-1.957655,307000.0
BD72JP,53.786270,-1.786706,95000.0
BD231UW,53.964765,-2.030940,240000.0
BD175BX,53.848419,-1.780219,230000.0
BD214HH,53.876948,-1.884033,109950.0
WF120JT,53.662406,-1.616706,190000.0
WF93BN,53.596519,-1.312117,134000.0
WF82QA,53.703082,-1.293066,120000.0
WF15PA,53.666078,-1.487726,90000.0
WF120JD,53.660953,-1.609304,187500.0
WF105LW,53.722684,-1.365059,123995.0
WF169HB,53.714150,-1.674282,118000.0
WF58LY,53.671371,-1.580056,115000.0
WF33BT,53.741494,-1.506112,117000.0
WF42BT,53.623296,-1.421176,52000.0
WF58LH,53.672895,-1.578951,230000.0
WF42BZ,53.624853,-1.419930,81495.0
